name,house,headshot
Tyrion Lannister,Lannister,http://pm1.narvii.com/6319/e78ce4768fa26d7f3408ac15a55a6f532db51e64_128.jpg
Jaime Lannister,Lannister,https://cdn.images.express.co.uk/img/dynamic/galleries/64x64/55656.jpg
Cersei Lannister,Lannister,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/9b/9b62abb13a73878b02616a83bf307cc4b24281db_medium.jpg
Jon Snow,Snow,https://pbs.twimg.com/profile_images/743138182607175680/ZJzktgBk_400x400.jpg
Daenerys Targaryen,Targaryen,http://cdn.images.express.co.uk/img/dynamic/galleries/64x64/223128.jpg
Littlefinger,Baelish,https://68.media.tumblr.com/avatar_6debc660565e_128.png
Davos Seaworth,Seaworth,https://68.media.tumblr.com/avatar_ee24e5354764_128.png
Melisandre,Unknown,http://pm1.narvii.com/6117/f2eb1a8835831e6e03268ca29030ff52ff063d02_128.jpg
Ellaria Sand,Sand,https://68.media.tumblr.com/avatar_3d20629213b0_128.png
Sansa Stark,Stark,https://68.media.tumblr.com/avatar_6fdea35ce350_128.png
Missandei,Commoner,https://pbs.twimg.com/profile_images/378800000372106882/64113276ef3126ab5d3d424c3a07d627.png
The Hound,Clegane,https://pbs.twimg.com/profile_images/597760902759206912/ywNIA8Ot.jpg
Arya Stark,Stark,https://pbs.twimg.com/profile_images/596494427960446976/2MHCyVcx.jpg
Varys,Commoner,https://pbs.twimg.com/profile_images/694825799501942784/VzrN4eTy.jpg
Theon Greyjoy,Greyjoy,https://68.media.tumblr.com/avatar_58c84e1f117a_128.png
Samwell Tarly,Night's Watch,https://68.media.tumblr.com/avatar_48ef4b4c1cf5_128.png
Brienne of Tarth,Tarth,https://68.media.tumblr.com/avatar_a61528df7d8a_128.png
Tormund Giantsbane,Wildling,https://images-na.ssl-images-amazon.com/images/M/MV5BYTdhOTQ0MzYtMTYyNi00NDk2LTg3MzYtM2NlMzgyNmE5N2ZiXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1_SY256_SX256_AL_.jpg
Bran Stark,Stark,https://pbs.twimg.com/profile_images/378800000262873473/ad99e918f330342509aae8be1389d43e.png
Euron Greyjoy,Greyjoy,https://pbs.twimg.com/profile_images/735326283165532161/EkorFWEX.jpg
Beric Dondarrion,Dondarrion,https://pbs.twimg.com/profile_images/378800000264083951/7aa7a1fd78d9200f939991991c120190.jpeg
Bronn,Commoner,https://pbs.twimg.com/profile_images/761463649395437568/F1qzIrJA.jpg
Jorah Mormont,Mormont,https://pbs.twimg.com/profile_images/378800000248778930/2e3f9d7a3a8220452f2a02622f4c8808.jpeg
Gilly,Wildling,https://68.media.tumblr.com/avatar_1c41c825b87a_128.png
Grey Worm,Unsullied,https://nl.forum.tribalwars2.com/data/avatars/m/0/50.jpg?1482864802
Gregor Clegane,Clegane,https://pbs.twimg.com/profile_images/490599361227669505/9JP-09tz_reasonably_small.jpeg
Night King,Ancient,https://whitewolfsports.com/wp-content/uploads/2017/05/thenightsking_avatar-64x64.png
Nymeria Sand,Sand,https://images-na.ssl-images-amazon.com/images/M/MV5BNDBiMjEyNTQtNGZmMy00M2ExLWIwMjAtMmVmMGViNTllOTYxXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1_SY256_SX256_AL_.jpg
Thoros of Myr,Myr,https://pbs.twimg.com/profile_images/743035481965879297/wiiJi0sE_400x400.jpg
Meera Reed,Reed,https://68.media.tumblr.com/avatar_430fc63bb40b_128.png
Tyene Sand,Sand,https://images-na.ssl-images-amazon.com/images/M/MV5BNDY5NzBiMTQtYzhmMS00Y2FmLTkzYzYtYzM2ODBjNGZlNGNiXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1_SY256_SX256_AL_.jpg
Qyburn,Meister,http://flashmode.tn/wp-content/uploads/2016/10/game-of-the-thrones-Qyburn.jpg
Robett Glover,Glover,https://68.media.tumblr.com/avatar_c3ab181ee926_128.png
Podrick Payne,Payne,https://68.media.tumblr.com/avatar_79d89a2ab807_128.png
Lyanna Mormont,Mormont,https://68.media.tumblr.com/avatar_4c45526b7a5f_128.png
Olenna Tyrell,Tyrell,http://sadsayeed.site88.net/resources/sa_gotquotes_angular/images/gotimages/Lady%20Olenna%20Tyrell.jpg
Yohn Royce,Royce,https://i.ytimg.com/vi/JvMdoTAGOM4/hqdefault.jpg
Yara Greyjoy,Greyjoy,https://68.media.tumblr.com/avatar_8233989a4b05_128.png
Little Sam,Tarly,http://assets.viewers-guide.hbo.com/large5728d2a75ec10.jpg
Drogon (Big black dragon),Dragon,https://pbs.twimg.com/profile_images/608312235060903936/DQtX0Nj4.jpg
Rhaegal (Green dragon),Dragon,https://dyn0.media.forbiddenplanet.com/products/000_166.jpg.square-true_maxheight-285_size-285.jpg
Viserion (Whiteish),Dragon,https://i.ebayimg.com/images/g/ayQAAOSw4A5YtC~O/s-l300.jpg
Nymeria the Direwolf,Stark,https://pbs.twimg.com/profile_images/3753111757/2cc7951ae29ec81b853d17d77cecb685.jpeg
Ghost the Direwolf,Stark,https://a.wattpad.com/useravatar/Nymeria_Sedai.128.4209.jpg
